Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Reusable/Assertion/BankAccCreatingSuccessfulyAssertionMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.646s,PASSED
"click(findTestObject(""BankAccDataField/Page_ (1)/span_   791""))",Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.157s,PASSED
"SuccessfulMessage = getText(findTestObject(""BankAccDataField/Page_ (1)/div_     791""))",Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.094s,PASSED
println(SuccessfulMessage),Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.001s,PASSED
"assert SuccessfulMessage.contains(""تم التنفيذ بنجاح"")",Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.003s,PASSED
"ReqCode = SuccessfulMessage.replaceAll(""[^\d]"", """")",Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.001s,PASSED
println(ReqCode),Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.000s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.000s,PASSED
file.write(ReqCode),Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:21,0.002s,PASSED
,,,,,,
Test Cases/SpecificTab/CreateModifyBankAccountForBakeryMethod/ReviewByEBCMethod,Chrome 77.0.3865.90,,2019-10-10 11:03:21,2019-10-10 11:03:23,1.476s,PASSED
Query = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.002s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
ExpectedResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
file = new java.io.File(C:\Users\smart\Katalon Studio\BakeryManagementSystem.Share\Cash\ReqCode.txt),Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.001s,PASSED
ReqCode = file.readLines(),Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.002s,PASSED
"ReqCode = ReqCode.replaceAll(""\p{P}"", """")",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.006s,PASSED
"Query = "" UPDATE requests SET EBC_REVIEW_STATUS = 2 WHERE REQ_CODE ="" + ""'"" + ReqCode + ""'""",Chrome 77.0.3865.90,,2019-10-10 11:03:22,2019-10-10 11:03:22,0.004s,PASSED
