Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Reusable/Assertion/ReviewBankAccountCreationByCommunityEmployeeAssertionMethod,Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:45,0.632s,ERROR
SplitArrResult = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:44,0.001s,PASSED
FileData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:44,0.001s,PASSED
file = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:44,0.001s,PASSED
today = new java.util.Date(),Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:44,0.007s,PASSED
"click(findTestObject(""DynamicWebTables/DynamicWebRow""))",Chrome 74.0.3729.169,,2019-09-26 10:43:44,2019-09-26 10:43:45,0.197s,PASSED
"RowValue = getText(findTestObject(""DynamicWebTables/DynamicWebRow""))",Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.088s,PASSED
println(RowValue),Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.000s,PASSED
"SplitArrResult = RowValue.split("" "")",Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.003s,PASSED
println(SplitArrResult),Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.001s,PASSED
ActualReqCode = SplitArrResult[0],Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.001s,PASSED
println(ActualReqCode),Chrome 74.0.3729.169,,2019-09-26 10:43:45,2019-09-26 10:43:45,0.001s,PASSED
